district,district_id
Gemeente Landsmeer,1
Gemeente Amsterdam,2
Gemeente Diemen,3
Gemeente Zaanstad,4
Gemeente Ouder-Amstel,5
Gemeente Waterland,6
Gemeente Amstelveen,7
Gemeente Aalsmeer,8
Nomarchia Athinas,9
Provincia de Barcelona,10
Berlin,11
Budapest,12
Lisbon,13
Loures,14
Oeiras,15
Almada,16
Odivelas,17
Greater London,18
Paris,19
Departement des Hauts-de-Seine,20
Departement du Val-de-Marne,21
Departement de Seine-Saint-Denis,22
Rome,23
Citta metropolitana di Roma Capitale,24
Wien Stadt,25
Politischer Bezirk Wien-Umgebung,26
Politischer Bezirk Ganserndorf,27
Politischer Bezirk Modling,28
Politischer Bezirk Korneuburg,29
