day_type,guest_satisfaction_score,price_total,is_shared_room,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,room_type,room_id,room_list_id
weekday,93.0,194.03369812293488,0,0,1,0,10.0,Private room,1,1
weekday,85.0,344.2457760176224,0,0,0,0,8.0,Private room,2,2
weekday,87.0,264.1014224451058,0,0,0,1,9.0,Private room,3,3
weekday,90.0,433.5293979799874,0,0,0,1,9.0,Private room,4,4
weekday,98.0,485.5529257375859,0,1,0,0,10.0,Private room,5,5
weekday,100.0,552.808567478265,0,0,0,0,8.0,Private room,6,6
weekday,94.0,215.12431748412348,0,0,0,0,10.0,Private room,7,7
weekday,100.0,2771.3073840601787,0,1,0,0,10.0,Entire home/apt,8,8
weekday,96.0,1001.8044196564572,0,0,0,0,9.0,Entire home/apt,9,9
weekday,88.0,276.52145384669467,0,0,1,0,10.0,Private room,10,10
weekday,96.0,909.4743748974762,0,0,0,0,10.0,Entire home/apt,11,11
weekday,97.0,319.6400534295691,0,1,1,0,10.0,Private room,12,12
weekday,87.0,675.6028402034074,0,0,0,0,8.0,Entire home/apt,13,13
weekday,100.0,552.808567478265,0,1,0,0,10.0,Entire home/apt,14,14
weekday,96.0,209.03147189089125,0,0,1,0,8.0,Private room,15,15
weekday,98.0,368.8514986056758,0,1,0,0,10.0,Private room,16,16
weekday,90.0,368.8514986056758,0,0,0,0,10.0,Private room,17,17
weekday,97.0,337.91859020926586,0,1,1,0,10.0,Private room,18,18
weekday,96.0,313.54720783633684,0,1,1,0,10.0,Private room,19,19
weekday,93.0,447.5898108874465,0,0,1,0,9.0,Entire home/apt,20,20
weekday,96.0,243.2451432990416,0,1,1,0,10.0,Private room,21,21
weekday,96.0,933.8457572704052,0,0,0,0,10.0,Entire home/apt,22,22
weekday,97.0,251.91573125864133,0,0,1,0,10.0,Private room,23,23
weekday,98.0,377.2877463501512,0,0,0,0,10.0,Private room,24,24
weekday,96.0,245.5885454502848,0,1,1,0,10.0,Private room,25,25
weekday,93.0,217.70205985049097,0,0,1,0,8.0,Private room,26,26
weekday,95.0,295.0343308415157,0,0,1,0,10.0,Private room,27,27
weekday,94.0,295.0343308415157,0,0,0,0,10.0,Private room,28,28
weekday,96.0,1032.9716682679916,0,0,1,0,9.0,Entire home/apt,29,29
weekday,98.0,270.4286082534624,0,1,0,0,10.0,Private room,30,30
weekday,89.0,524.6877416633469,0,0,0,1,9.0,Entire home/apt,31,31
weekday,94.0,599.6766105031285,0,0,0,0,9.0,Entire home/apt,32,32
weekday,100.0,516.0171537037471,0,0,0,0,9.0,Entire home/apt,33,33
weekday,100.0,602.254352869496,0,0,0,0,10.0,Entire home/apt,34,34
weekday,94.0,504.06580273240695,0,0,0,0,9.0,Entire home/apt,35,35
weekday,96.0,1609.9172779040612,0,0,1,0,10.0,Entire home/apt,36,36
weekday,94.0,310.9694654699693,0,0,1,0,9.0,Entire home/apt,37,37
weekday,94.0,202.70428608253465,0,0,0,0,10.0,Private room,38,38
weekday,94.0,796.2880509924308,0,0,0,0,10.0,Entire home/apt,39,39
weekday,96.0,504.06580273240695,0,0,0,0,9.0,Private room,40,40
weekday,95.0,319.6400534295691,0,0,0,1,10.0,Private room,41,41
weekday,96.0,614.4400440559605,0,0,0,1,9.0,Private room,42,42
weekday,94.0,467.0400487427648,0,0,0,1,10.0,Private room,43,43
weekday,96.0,716.3780376350386,0,1,0,0,10.0,Entire home/apt,44,44
weekday,91.0,350.1042813957304,0,0,1,0,10.0,Private room,45,45
weekday,97.0,319.6400534295691,0,0,0,1,10.0,Private room,46,46
weekday,96.0,467.0400487427648,0,0,0,1,10.0,Private room,47,47
weekday,100.0,983.2915426616364,0,1,0,0,10.0,Entire home/apt,48,48
weekday,94.0,298.78377428350484,0,1,0,0,9.0,Private room,49,49
weekday,94.0,196.6114404893024,0,0,0,0,9.0,Private room,50,50
weekday,96.0,430.24863496824696,0,0,0,0,10.0,Entire home/apt,51,51
weekday,95.0,319.6400534295691,0,0,0,1,9.0,Private room,52,52
weekday,98.0,405.6429123801936,0,1,0,0,9.0,Private room,53,53
weekday,97.0,334.16914676727674,0,1,1,0,10.0,Private room,54,54
weekday,98.0,491.8801115459424,0,0,0,1,9.0,Private room,55,55
weekday,95.0,319.6400534295691,0,0,0,1,9.0,Private room,56,56
weekday,100.0,780.3529163639773,0,0,0,1,10.0,Private room,57,57
weekday,90.0,355.025425913341,0,0,0,0,9.0,Entire home/apt,58,58
weekday,98.0,1044.6886790242074,0,0,0,0,10.0,Entire home/apt,59,59
weekday,98.0,847.8428983197807,0,0,0,0,10.0,Entire home/apt,60,60
weekday,98.0,373.7726431232864,0,1,1,0,10.0,Private room,61,61
weekday,84.0,613.268342980339,0,0,1,0,9.0,Entire home/apt,62,62
weekday,98.0,238.3239987814309,0,1,0,0,10.0,Private room,63,63
weekday,97.0,430.24863496824696,0,0,0,0,10.0,Entire home/apt,64,64
weekday,77.0,347.9952194596115,0,0,0,1,6.0,Entire home/apt,65,65
weekday,98.0,330.4197033252877,0,0,0,0,10.0,Entire home/apt,66,66
weekday,99.0,1179.6686429358142,0,1,1,0,10.0,Entire home/apt,67,67
weekday,98.0,259.1802779274952,0,1,1,0,10.0,Private room,68,68
weekday,97.0,277.9274951374406,0,1,0,0,10.0,Private room,69,69
weekday,96.0,467.0400487427648,0,0,0,0,9.0,Entire home/apt,70,70
weekday,99.0,583.7414758746748,0,1,0,0,10.0,Entire home/apt,71,71
weekday,88.0,374.944344198908,0,0,0,1,6.0,Private room,72,72
weekday,97.0,372.3666018325405,0,0,0,0,10.0,Private room,73,73
weekday,96.0,479.2257399292293,1,1,0,0,10.0,Shared room,74,74
weekday,98.0,454.8543575563003,0,1,0,0,10.0,Entire home/apt,75,75
weekday,95.0,206.4537295245237,0,0,0,0,9.0,Private room,76,76
weekday,95.0,497.7386169240504,0,0,1,0,10.0,Private room,77,77
weekday,97.0,399.5500667869613,0,1,0,0,10.0,Entire home/apt,78,78
weekday,93.0,761.8400393691562,0,0,0,0,9.0,Private room,79,79
weekday,90.0,317.0623110632016,0,0,1,0,8.0,Private room,80,80
weekday,96.0,319.40571321444475,0,0,0,0,10.0,Private room,81,81
weekday,97.0,209.03147189089125,0,1,1,0,10.0,Private room,82,82
weekday,98.0,209.03147189089125,0,1,1,0,10.0,Private room,83,83
weekday,96.0,640.4518079347597,0,0,0,0,9.0,Entire home/apt,84,84
weekday,98.0,209.03147189089125,0,1,1,0,10.0,Private room,85,85
weekday,96.0,934.0800974855296,0,1,1,0,10.0,Private room,86,86
weekday,88.0,210.2031729665128,0,0,1,0,9.0,Private room,87,87
weekday,94.0,221.2171630773557,0,0,0,0,9.0,Private room,88,88
weekday,91.0,441.2626250790898,0,0,1,0,10.0,Private room,89,89
weekday,80.0,325.498558807677,0,0,1,0,8.0,Private room,90,90
weekday,97.0,792.7729477655661,0,0,0,0,10.0,Entire home/apt,91,91
weekday,93.0,213.95261640850188,0,1,0,0,10.0,Private room,92,92
weekday,98.0,1557.19072950109,0,1,0,0,9.0,Entire home/apt,93,93
weekday,99.0,317.0623110632016,0,1,0,0,10.0,Private room,94,94
weekday,95.0,319.6400534295691,0,1,0,0,10.0,Entire home/apt,95,95
weekday,98.0,1044.6886790242074,0,0,0,0,10.0,Entire home/apt,96,96
weekday,94.0,310.9694654699693,0,0,0,0,9.0,Entire home/apt,97,97
weekday,92.0,295.0343308415157,0,0,0,0,9.0,Entire home/apt,98,98
weekday,82.0,344.2457760176224,0,0,0,0,7.0,Entire home/apt,99,99
weekday,95.0,3004.9445785391235,0,0,0,0,9.0,Entire home/apt,100,100
weekday,98.0,539.2168350010546,0,0,0,0,10.0,Entire home/apt,101,101
weekday,98.0,460.9472031495325,0,1,0,0,10.0,Private room,102,102
weekday,93.0,1376.514423640241,0,1,0,1,10.0,Entire home/apt,103,103
weekday,98.0,415.4852014154149,0,1,1,0,10.0,Entire home/apt,104,104
weekday,95.0,215.12431748412348,0,1,0,0,10.0,Private room,105,105
weekday,97.0,393.4572211937291,0,1,0,0,10.0,Private room,106,106
weekday,97.0,232.23115318819865,0,0,0,0,10.0,Private room,107,107
weekday,100.0,774.2600707707451,0,1,0,0,10.0,Entire home/apt,108,108
weekday,90.0,291.0505471844023,0,0,0,0,9.0,Private room,109,109
weekday,95.0,604.5977550207392,0,1,1,0,10.0,Entire home/apt,110,110
weekday,97.0,467.0400487427648,0,0,0,0,10.0,Entire home/apt,111,111
weekday,92.0,744.4988634499567,0,0,0,0,10.0,Entire home/apt,112,112
weekday,94.0,250.74403018301973,0,1,1,0,10.0,Private room,113,113
weekday,97.0,544.1379795186652,0,1,1,0,10.0,Private room,114,114
weekday,97.0,424.1557893750147,0,0,0,0,10.0,Entire home/apt,115,115
weekday,97.0,675.6028402034074,0,1,0,0,10.0,Entire home/apt,116,116
weekday,98.0,909.4743748974762,0,1,1,0,10.0,Entire home/apt,117,117
weekday,98.0,264.1014224451058,0,1,0,0,10.0,Private room,118,118
weekday,97.0,196.6114404893024,0,1,1,0,10.0,Private room,119,119
weekday,97.0,700.442903006585,0,1,0,0,9.0,Entire home/apt,120,120
weekday,99.0,307.22002202798024,0,1,0,0,10.0,Private room,121,121
weekday,93.0,528.2028448902116,0,0,1,0,10.0,Private room,122,122
