city,Monthly_Average_Net_salary,Meal_at_Inexpensive_Restaurant,Taxi_price_per_Km,Monthly_Basic_Utilities,Monthly_Rent_One_Bedroom_CC,Monthly_Rent_One_Bedroom_OCC,Monthly_Rent_Three_Bedroom_CC,Monthly_Rent_Three_Bedroom_OCC
Amsterdam,4502.1,20.5,3.0,262.0,2178.68,1701.26,3725.5,2785.29
Athens,1164.49,15.0,0.95,184.56,614.42,519.21,1142.7,946.39
Barcelona,2102.82,15.0,1.86,159.12,1398.59,1061.18,2162.9,1684.62
Berlin,3136.14,15.0,2.8,347.11,1298.45,923.15,2431.82,1770.45
Budapest,1410.6,10.47,1.15,134.93,733.71,557.83,1412.2,1047.05
Lisbon,1304.65,13.75,0.9,137.93,1387.5,1036.0,2502.27,1633.33
London,4260.76,23.01,2.85,333.23,2788.44,2029.85,4402.56,3416.39
Paris,3305.14,15.0,1.5,238.3,1394.79,1039.17,3088.46,2145.0
Rome,1863.9,15.0,1.5,187.37,1280.45,820.59,2353.33,1541.67
Vienna,3135.2,18.25,1.9,291.2,1082.8,763.71,2063.57,1302.78
