Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Stylish Serviced Apartment near Central Station,Amsterdam,"16,698 kr NOK",Yes,1,4.81,592,https://www.airbnb.com/rooms/30762441?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3BhL_65fhjsHcaZ&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Cozy houseboat with parking in the center of Amsterdam,Amsterdam,"13,751 kr NOK",Yes,1,4.97,97269,https://www.airbnb.com/rooms/580870087750124077?search_mode=regular_search&adults=1&check_in=2026-11-29&check_out=2026-12-04&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3gcJ-gIExeMyUQb&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
2 Bedroom Luxury canal view,Amsterdam,"22,861 kr NOK",Yes,1,5.0,010,https://www.airbnb.com/rooms/659912453988950484?search_mode=regular_search&adults=1&check_in=2026-02-21&check_out=2026-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3-oDSdsQBUdP8y5&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Authentic Warm Water Villa @ old city canal.,Amsterdam,"15,951 kr NOK",Yes,0,4.94,111,https://www.airbnb.com/rooms/15152694?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3ksbl3gJl02b1Zp&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Amazing apt in historic city-centre,Amsterdam,"20,397 kr NOK",No,1,5.0,014,https://www.airbnb.com/rooms/597767781644386044?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3C8p5YDfTlcmt0Y&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Spacious & Stylish apartment City Center,Amsterdam,"17,188 kr NOK",Yes,0,N/A,0,https://www.airbnb.com/rooms/1601547965377119032?search_mode=regular_search&adults=1&check_in=2026-10-22&check_out=2026-10-27&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3pI7EhrXVun0esF&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
luxurious Canal house Amsterdam,Amsterdam,"29,792 kr NOK",Yes,1,4.9,9132,https://www.airbnb.com/rooms/1138351667104781985?search_mode=regular_search&adults=1&check_in=2026-02-21&check_out=2026-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3Avi4rH0y6eUdth&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
2-Bedroom Apartment - ID Aparthotel,Amsterdam,"13,625 kr NOK",Yes,0,4.77,736,https://www.airbnb.com/rooms/33241384?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3jDGyt92oR9a_20&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Luxury Rijksmuseum House,Amsterdam,"35,216 kr NOK",Yes,1,4.97,97141,https://www.airbnb.com/rooms/668118568598595862?search_mode=regular_search&adults=1&check_in=2026-02-27&check_out=2026-03-04&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3sxOoADg10UTsjW&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Bright & Modern Apartment with Rooftop Terrace,Amsterdam,"13,216 kr NOK",No,0,5.0,8,https://www.airbnb.com/rooms/1347290337999980962?search_mode=regular_search&adults=1&check_in=2027-01-08&check_out=2027-01-13&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3LKWZDQeDXdre2T&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Amstel Imperial,Amsterdam,"21,359 kr NOK",Yes,1,4.91,91578,https://www.airbnb.com/rooms/18059130?search_mode=regular_search&adults=1&check_in=2026-02-26&check_out=2026-03-03&children=0&infants=0&pets=0&source_impression_id=p3_1769503094_P3C9hy7eKikBkFjk&previous_page_section_name=1000&federated_search_id=679f0997-e0f4-4d4e-b0f5-ae433f7c6575
Beautiful Houseboat,Amsterdam,"19,862 kr NOK",Yes,1,4.92,9279,https://www.airbnb.com/rooms/30308981?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P32AooF88sVjCfid&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
New! City Centre Suites By: B&B61,Amsterdam,"20,418 kr NOK",Yes,1,4.97,97187,https://www.airbnb.com/rooms/669234388249202231?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3kqAolBJfrPAqKl&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
romantic stay in the centre of Amsterdam,Amsterdam,"16,898 kr NOK",Yes,1,4.97,97203,https://www.airbnb.com/rooms/501281870137313788?search_mode=regular_search&adults=1&check_in=2026-07-13&check_out=2026-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3PABO46xYVypY4f&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
Two rooms completely private in Bohemian ‘De Pijp',Amsterdam,"13,369 kr NOK",Yes,1,4.89,89292,https://www.airbnb.com/rooms/40191258?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3cNictfGQmEKb-L&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
"great big, beautiful apartment with roof terrace",Amsterdam,"21,008 kr NOK",No,1,5.0,068,https://www.airbnb.com/rooms/36657165?search_mode=regular_search&adults=1&check_in=2026-02-19&check_out=2026-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3ijdr6idwQMrCW8&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
Stylish waterfront apartment in Amsterdam,Amsterdam,"13,751 kr NOK",No,1,5.0,010,https://www.airbnb.com/rooms/1202134824248978977?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3_nx35c7_noDZ9Z&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
★ STYLISH FAMILY HOME - CITY CENTER,Amsterdam,"18,853 kr NOK",Yes,1,4.87,87147,https://www.airbnb.com/rooms/357980?search_mode=regular_search&adults=1&check_in=2026-02-21&check_out=2026-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3ve2KtL01N9I9SH&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
"Amazing Canal Penthouse, Stunning views",Amsterdam,"21,390 kr NOK",Yes,1,4.8,8692,https://www.airbnb.com/rooms/13952479?search_mode=regular_search&adults=1&check_in=2026-05-15&check_out=2026-05-20&children=0&infants=0&pets=0&source_impression_id=p3_1769503250_P3hjfO-jmtPOD9UA&previous_page_section_name=1000&federated_search_id=99018f7e-5795-4d10-9d43-07147266f632
HOUSEBOAT NOVA 80m2 + FREE BIKES,Amsterdam,"12,741 kr NOK",No,0,4.75,179,https://www.airbnb.com/rooms/851044?search_mode=regular_search&adults=1&check_in=2026-10-02&check_out=2026-10-07&children=0&infants=0&pets=0&source_impression_id=p3_1769503436_P3ifYUtzytAaQy80&previous_page_section_name=1000&federated_search_id=827a0030-2fed-4430-a8c6-5791a2c7080c
DREAMCATCHER private place private gardenAmsterdam,Amsterdam,"7,398 kr NOK",Yes,0,4.86,427,https://www.airbnb.com/rooms/23845191?search_mode=regular_search&adults=1&check_in=2026-03-01&check_out=2026-03-06&children=0&infants=0&pets=0&source_impression_id=p3_1769503436_P3fwcwE5coa0W_cZ&previous_page_section_name=1000&federated_search_id=827a0030-2fed-4430-a8c6-5791a2c7080c
