Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Cozy Apartment Diagonal-Sagrada Family,Barcelona,€ 660,Yes,1,4.84,84967,https://www.airbnb.com/rooms/2469678?search_mode=regular_search&adults=1&check_in=2026-12-07&check_out=2026-12-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3JTOJF-B3IR3Wqi&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Arc de Triomf cheerful two bedroom with terrace,Barcelona,€ 839,No,0,4.53,184,https://www.airbnb.com/rooms/21721252?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3yMxDNqTmkuJGXH&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Very good location 2 Bedrooms,Barcelona,€ 773,Yes,0,4.7,195,https://www.airbnb.com/rooms/48715762?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3jDvO-1Se1in7tF&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
250 m² apartment in downtown Barcelona,Barcelona,€ 834,No,0,5.0,10,https://www.airbnb.com/rooms/1541336790053616795?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3vTj1_KKCyWLsIR&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
22DIA1087 - New 2br flat next to la Pedrera,Barcelona,€ 844,No,1,4.78,7869,https://www.airbnb.com/rooms/1176930728618156011?search_mode=regular_search&adults=1&check_in=2026-03-08&check_out=2026-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3lCAbQkHqW8iXS5&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Designer and comfortable apartment,Barcelona,€ 773,Yes,1,4.93,93224,https://www.airbnb.com/rooms/43888224?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3avDYhZxf2r60Xq&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
"""El patio de Gràcia"" vintage home.",Barcelona,€ 945,Yes,1,4.91,91529,https://www.airbnb.com/rooms/357576?search_mode=regular_search&adults=1&check_in=2026-02-09&check_out=2026-02-14&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3lDTFpBvpvW27Xa&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Beautiful central flat near Barcelona’s Old Town,Barcelona,€ 662,No,0,New,2,https://www.airbnb.com/rooms/1573979758604063006?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3e0O3zugt_RbO4g&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Brand new 2 bedrooms apartment with garden & pool,Barcelona,€ 930,No,1,4.75,038,https://www.airbnb.com/rooms/52627366?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3oowIv0FrPRy2-P&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Charming 2BR near SagradaFamilia with balcony,Barcelona,€ 882,Yes,1,4.94,94159,https://www.airbnb.com/rooms/1044942014453863903?search_mode=regular_search&adults=1&check_in=2026-02-23&check_out=2026-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3kq_ZdaVMYJ2VYS&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
42ENF1060 - Authentic Barcelonian flat,Barcelona,€ 503,No,0,4.65,52,https://www.airbnb.com/rooms/1212272386691330030?search_mode=regular_search&adults=1&check_in=2026-02-09&check_out=2026-02-14&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3Cl1VkowzqHCXgd&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
Sagrada Familia Design with private terrace,Barcelona,€ 744,Yes,0,4.52,357,https://www.airbnb.com/rooms/759769?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507005_P3lbq4AaVW2Bg1sm&previous_page_section_name=1000&federated_search_id=b00b184b-df5f-43fc-9ffb-19dab2822e23
"2-Double Bedrs Apt, 2 Bathr, Office (2 Adults) 22",Barcelona,"€ 1,005",Yes,1,4.93,93134,https://www.airbnb.com/rooms/43018190?search_mode=regular_search&adults=1&check_in=2026-02-20&check_out=2026-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3E2sB-BnrOBEkkz&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
NEW Luxurious apartment in the heart of “Eixample”,Barcelona,"€ 1,599",Yes,1,5.0,097,https://www.airbnb.com/rooms/1215985606461978788?search_mode=regular_search&adults=1&check_in=2026-02-20&check_out=2026-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3430jHvX5UYyArr&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Gracia Lovely Apartment 233S extraCLEAN,Barcelona,€ 573,No,0,4.76,275,https://www.airbnb.com/rooms/9292045?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3yx-fz91wsnz9Jj&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Modern & Cozy Apartment in Gràcia,Barcelona,€ 507,Yes,0,4.74,893,https://www.airbnb.com/rooms/1530586?search_mode=regular_search&adults=1&check_in=2026-11-18&check_out=2026-11-23&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3Dbl3fJUqKQvHJg&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Beautiful and Charming.,Barcelona,€ 996,Yes,1,4.91,91278,https://www.airbnb.com/rooms/14482262?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3iPJ0oiDFLmOGVX&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Penthouse in the center close to Ramblas,Barcelona,€ 966,Yes,1,4.76,76292,https://www.airbnb.com/rooms/2265321?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3chXCv-opEj3c0s&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Guest Suite with Private Balcony,Barcelona,€ 700,Yes,0,4.9,20,https://www.airbnb.com/rooms/998358658079903133?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3ytwzdqz0z8CGDi&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Centrally located apartment (T1),Barcelona,€ 935,Yes,1,5.0,079,https://www.airbnb.com/rooms/877302463715778172?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3rTkBtJ8Bt13gZv&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
"""BULLRING"" VINTAGE APARTMENT",Barcelona,"€ 1,031",Yes,1,4.94,94485,https://www.airbnb.com/rooms/24033028?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3-bD_hdTbqY4-Ct&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
NEW COSY APARTMENT -SAGRADA FAMILY,Barcelona,€ 832,Yes,1,4.81,81257,https://www.airbnb.com/rooms/596377715892032374?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3SpCbkRILfEO9sP&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
3h apartment in Barcelona's Eixample district,Barcelona,€ 931,Yes,1,4.94,94311,https://www.airbnb.com/rooms/1579898?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3Qev8DZI9ptM3r2&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
NEW Cozy Familiar apartment in the center,Barcelona,€ 978,Yes,1,4.93,9360,https://www.airbnb.com/rooms/1227281610803448523?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P36ecZ6CPTeUEffT&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
