Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
In the heart of Rome- opera design apartment,Rome,"17,770 kr NOK",Yes,1,5.0,0181,https://www.airbnb.com/rooms/947046229502967952?search_mode=regular_search&adults=1&check_in=2026-02-23&check_out=2026-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1769510151_P3CnSVVyn4idGaSj&previous_page_section_name=1000&federated_search_id=16f0b6e5-32e1-40fc-8d25-5a6040ed220d
Gleaming Loft Chapel Leopardi near Colosseum,Rome,"18,841 kr NOK",Yes,1,4.82,8277,https://www.airbnb.com/rooms/1109950802573002328?search_mode=regular_search&adults=1&check_in=2026-02-04&check_out=2026-02-09&children=0&infants=0&pets=0&source_impression_id=p3_1769510151_P37eLYSrODiWi2GL&previous_page_section_name=1000&federated_search_id=16f0b6e5-32e1-40fc-8d25-5a6040ed220d
Silvery Apartment Aqua Paola close to Vatican,Rome,"7,193 kr NOK",Yes,1,5.0,027,https://www.airbnb.com/rooms/1395567315075348593?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3ty8ZA3eEVOTEhW&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
Majestic apartment close to Spanish Steps,Rome,"14,193 kr NOK",Yes,1,4.93,93107,https://www.airbnb.com/rooms/894713603925333346?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3f4-0fVbZam6Eek&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
Rione Monti Apt 2 bedrooms 2 bathrooms,Rome,"8,396 kr NOK",No,1,5.0,012,https://www.airbnb.com/rooms/1465037928789143194?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3FbIb6Z3wAHHkb_&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
Trastevere Interno 8 apartment,Rome,"8,092 kr NOK",Yes,1,4.93,93748,https://www.airbnb.com/rooms/3674909?search_mode=regular_search&adults=1&check_in=2026-11-04&check_out=2026-11-09&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3EfBNuaEZ-mTY1H&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
Life in colours near Termini st.,Rome,"8,576 kr NOK",Yes,1,4.98,9853,https://www.airbnb.com/rooms/1216045200489943333?search_mode=regular_search&adults=1&check_in=2026-11-05&check_out=2026-11-10&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3zE6386xVtekLb1&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
Quiet roof terraces close to fontana di Trevi,Rome,"13,738 kr NOK",Yes,1,4.99,99186,https://www.airbnb.com/rooms/47025821?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510289_P3IqpnBPg73qP4B3&previous_page_section_name=1000&federated_search_id=c0d54454-ffc4-4385-873d-8e56760f2f92
House with 19th-century maps of Rome,Rome,"10,995 kr NOK",Yes,1,4.96,9656,https://www.airbnb.com/rooms/1329017399513620469?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769510415_P3NTIYUmbUPeksHO&previous_page_section_name=1000&federated_search_id=350c226b-2bd8-45a9-8437-012c99a2cdc4
DEZA| Luxury Colosseum View 2BR 2BT,Rome,"13,190 kr NOK",No,1,5.0,06,https://www.airbnb.com/rooms/1550737165231720676?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769510415_P3UfefaWNEze8P_D&previous_page_section_name=1000&federated_search_id=350c226b-2bd8-45a9-8437-012c99a2cdc4
Penthouse in Trastevere with rooftop terrace,Rome,"12,077 kr NOK",Yes,1,4.9,9146,https://www.airbnb.com/rooms/566667497308563840?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510415_P3ztVQNAAEn_pJ-D&previous_page_section_name=1000&federated_search_id=350c226b-2bd8-45a9-8437-012c99a2cdc4
parioli penthouse,Rome,"9,060 kr NOK",Yes,1,4.95,95117,https://www.airbnb.com/rooms/1036823188106936792?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510415_P3t9oa1rV7mI5t6l&previous_page_section_name=1000&federated_search_id=350c226b-2bd8-45a9-8437-012c99a2cdc4
"Rome Colosseum, dream view",Rome,"18,463 kr NOK",No,1,5.0,015,https://www.airbnb.com/rooms/1429781670684960733?search_mode=regular_search&adults=1&check_in=2026-02-28&check_out=2026-03-05&children=0&infants=0&pets=0&source_impression_id=p3_1769510415_P39j2WKOANCayul9&previous_page_section_name=1000&federated_search_id=350c226b-2bd8-45a9-8437-012c99a2cdc4
Modern Renovated Flat by St. Peter,Rome,"10,857 kr NOK",Yes,1,4.94,9451,https://www.airbnb.com/rooms/1399881564660581028?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510521_P3hN8HnFi6LQBCLz&previous_page_section_name=1000&federated_search_id=6b43404f-d8d2-4f66-bff4-24bc8a98b026
Francesca home in Rome,Rome,"9,889 kr NOK",Yes,1,4.95,95269,https://www.airbnb.com/rooms/51274387?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510521_P3cFY-4seI0dfZCX&previous_page_section_name=1000&federated_search_id=6b43404f-d8d2-4f66-bff4-24bc8a98b026
Casa Giulia Monteverde,Rome,"5,737 kr NOK",Yes,1,5.0,047,https://www.airbnb.com/rooms/1143561601856607040?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769510521_P3j73Qm15T78nI07&previous_page_section_name=1000&federated_search_id=6b43404f-d8d2-4f66-bff4-24bc8a98b026
MyRentalInn - Scarlatti Rhome Parioli,Rome,"8,700 kr NOK",No,1,5.0,010,https://www.airbnb.com/rooms/1399362467820419000?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510629_P30d--SV322a5mW2&previous_page_section_name=1000&federated_search_id=54e9ce47-c116-4d68-8953-2d489aefe093
Cozy apartment 2,Rome,"9,903 kr NOK",Yes,1,4.95,95136,https://www.airbnb.com/rooms/774597230892797550?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769510629_P3N_2VybCDTLFTkc&previous_page_section_name=1000&federated_search_id=54e9ce47-c116-4d68-8953-2d489aefe093
Giulia's Sweet Home,Rome,"5,949 kr NOK",Yes,1,4.94,94335,https://www.airbnb.com/rooms/37730240?search_mode=regular_search&adults=1&check_in=2026-02-03&check_out=2026-02-08&children=0&infants=0&pets=0&source_impression_id=p3_1769510629_P3BNaBl8Lz173lE9&previous_page_section_name=1000&federated_search_id=54e9ce47-c116-4d68-8953-2d489aefe093
Bonny Apt Fontana dei Leoni next to Vatican,Rome,"7,193 kr NOK",Yes,1,4.96,9625,https://www.airbnb.com/rooms/1395526212278783186?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510629_P3N9RQ19aMvunqws&previous_page_section_name=1000&federated_search_id=54e9ce47-c116-4d68-8953-2d489aefe093
"1 Minute from Metro, quiet, large 2 BR, 2 BATHS",Rome,"8,230 kr NOK",Yes,1,5.0,0116,https://www.airbnb.com/rooms/51299687?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769510748_P3nxz2iD0Z8URuqS&previous_page_section_name=1000&federated_search_id=7d7f925a-91c4-4684-8421-3f49bd24ee15
5 minutes from the Colosseum for 5 people in the center of Rome,Rome,"6,739 kr NOK",No,0,New,2,https://www.airbnb.com/rooms/1571034403974507797?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510748_P3jv8pHwhgUCxy_A&previous_page_section_name=1000&federated_search_id=7d7f925a-91c4-4684-8421-3f49bd24ee15
NEW Listing ! 2 Bed Apt near Spanish Steps,Rome,"11,961 kr NOK",Yes,0,5.0,3,https://www.airbnb.com/rooms/1584955487980305620?search_mode=regular_search&adults=1&check_in=2026-02-20&check_out=2026-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1769510748_P3Mx84XgBRpXd-Ni&previous_page_section_name=1000&federated_search_id=7d7f925a-91c4-4684-8421-3f49bd24ee15
Ottaviano House (Vatican),Rome,"10,027 kr NOK",Yes,1,5.0,021,https://www.airbnb.com/rooms/1419402573998380894?search_mode=regular_search&adults=1&check_in=2026-02-17&check_out=2026-02-22&children=0&infants=0&pets=0&source_impression_id=p3_1769510748_P3YQOy0yNC4z7imw&previous_page_section_name=1000&federated_search_id=7d7f925a-91c4-4684-8421-3f49bd24ee15
"Franceschi Apt| 50mt to Metro, Gem Luxury Design",Rome,"8,474 kr NOK",Yes,0,New,1,https://www.airbnb.com/rooms/1571655134768910429?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769510748_P3Mfmysb2GPy5zLd&previous_page_section_name=1000&federated_search_id=7d7f925a-91c4-4684-8421-3f49bd24ee15
Sweet Apt Aqua Julia with Vatican side view,Rome,"6,847 kr NOK",Yes,1,5.0,025,https://www.airbnb.com/rooms/1395624718238664451?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769510860_P39b-LscguW86TXs&previous_page_section_name=1000&federated_search_id=7fe38a73-9809-4625-ba98-84114314c96f
